Date,Open Interest,Open,High,Low,Close,Volume,Long Short Ratio
2020-01-14,5436,8140.933105,8879.511719,8140.933105,8827.764648,44841784107,0.7281262485017979
2020-01-21,5213,8658.991211,8755.706055,8544.520508,8745.894531,24097418512,0.7063475546305932
2020-01-28,5016,8912.524414,9358.589844,8908.447266,9358.589844,34398744403,0.6603979881915591
2020-02-04,4412,9292.841797,9331.265625,9112.811523,9180.962891,29893183716,0.6304780876494024
2020-02-11,6190,9855.891602,10210.052734,9729.334961,10208.236328,37648059389,0.7031795946890287
2020-02-18,6573,9691.230469,10161.935547,9632.382813,10141.996094,47271023953,0.7672526041666666
2020-02-25,5754,9651.3125,9652.737305,9305.021484,9341.705078,42515259129,0.7797506611258028
2020-03-03,4897,8865.387695,8901.598633,8704.990234,8787.786133,42386715821,0.6433049708911778
2020-03-10,4425,7922.146973000001,8136.945312999999,7814.763184,7909.729492,42213940994,0.7336874051593323
2020-03-17,4559,5002.578125,5371.348633,4981.90918,5225.629395,38622642935,0.7571535207763125
2020-03-24,3976,6436.642578,6789.022948999999,6411.066406,6734.803711,48221910672,0.7390251286709052
2020-03-31,3982,6430.606445,6504.515136999999,6374.162109000001,6438.644531,32786468812,0.7930225740252126
2020-04-07,5491,7273.644043000001,7427.939453,7136.714355,7176.414551000001,44243482668,0.7248728979272585
2020-04-14,5583,6843.281738,6958.557129000001,6793.821289,6842.427734000001,34110434052,0.7085592563903951
2020-04-21,5702,6879.78418,6934.551758,6834.442383,6880.323242,32589741511,0.7068702290076336
2020-04-28,6154,7796.970215,7814.527344,7730.806640999999,7807.058594,33187959921,0.7196784341139462
2020-05-05,7909,8912.832031,9062.415039,8856.827148,9003.070313,43148462663,0.7713296951949954
2020-05-12,10231,8610.385742,8949.898438,8569.643555,8804.477539,42142717533,0.7659466585538992
2020-05-19,11802,9727.063477,9836.047852,9539.624023,9729.038086,39254288955,0.7754655941243334
2020-05-26,9170,8909.585938,8991.967773,8757.293945,8835.052734,29584186947,0.8043222926943857
2020-06-02,9999,10162.973633,10182.34082,9460.571289,9529.803711,39137252109,0.7752525252525253
2020-06-09,10924,9774.360352,9836.369141,9664.719727,9795.700195,23717842783,0.8138051044083526
2020-06-16,9605,9454.266602,9579.430664,9400.445313,9538.024414,21565537209,0.8244163967385234
2020-06-23,10091,9644.076172,9670.541016,9547.24707,9629.658203,17006433272,0.8112378361410485
2020-06-30,8123,9185.581055,9217.835938,9084.837891,9137.993164,15735797744,0.8336686787391012
2020-07-07,8635,9349.161133,9360.617188,9201.81543,9252.277344,13839652595,0.8127956186208614
2020-07-14,8726,9238.703125,9283.841797,9171.661133,9243.213867,18085038362,0.8368076970519305
2020-07-21,9603,9162.514648,9407.262695,9149.389648,9374.887695,18069581956,0.8097620635979542
2020-07-28,14459,11017.463867,11204.327148,10632.631836,10912.823242,28766551142,0.772894831947958
2020-08-04,13460,11246.203125,11385.381836,11094.145508,11205.892578,21250197042,0.7616520535302261
2020-08-11,13969,11881.647461,11932.710938,11195.708984,11410.525391,27039782640,0.7792391142814683
2020-08-18,15501,12251.895508,12335.707031,11954.525391,11991.233398,26043227672,0.7729555957404058
2020-08-25,12444,11773.588867,11778.299805,11189.850586,11366.134766,26301509932,0.8205540661304737
2020-09-01,11300,11679.316406,12067.081055,11601.128906,11970.478516,27311555343,0.7783728876165851
2020-09-08,8942,10369.306641,10414.775391,9945.110352,10131.516602,33430927462,0.7341515729265967
